2024-03-19 13:29:57.607 +03:00 [INF] ad
2024-03-19 13:37:54.445 +03:00 [INF] ad
2024-03-19 13:37:54.463 +03:00 [ERR] Errororoor
2024-03-19 14:11:56.591 +03:00 [INF] 0 File sent.
2024-03-19 14:14:37.168 +03:00 [INF] Message chat id : 0 ; File name - Updated data.json : File sent by user.
2024-03-19 17:45:45.752 +03:00 [ERR] Bot id : 6429131594 ; Error while searching for a suitable object ; Message from user : бь 
2024-03-19 17:45:45.851 +03:00 [INF] Bot id : 6429131594 ; User sent a message for filtering : бь 
2024-03-19 17:46:09.662 +03:00 [INF] Bot id : 6429131594 ; User sent a document : gas-station.csv 
2024-03-19 17:46:12.327 +03:00 [INF] Bot id : 6429131594 ; The user clicked: Filtration
2024-03-19 17:46:13.508 +03:00 [INF] Bot id : 6429131594 ; The user clicked: FilterDistrict
2024-03-19 17:46:14.541 +03:00 [ERR] Bot id : 6429131594 ; Error while searching for a suitable object ; Message from user : ., 
2024-03-19 17:46:14.915 +03:00 [INF] Bot id : 6429131594 ; User sent a message for filtering : ., 
2024-03-19 17:46:17.645 +03:00 [INF] Bot id : 6429131594 ; The user clicked: FilterOwner
2024-03-19 17:46:18.597 +03:00 [ERR] Bot id : 6429131594 ; Error while searching for a suitable object ; Message from user : m 
2024-03-19 17:46:18.739 +03:00 [INF] Bot id : 6429131594 ; User sent a message for filtering : m 
2024-03-19 17:46:19.836 +03:00 [INF] Bot id : 6429131594 ; The user clicked: Back
2024-03-19 17:46:21.366 +03:00 [INF] Bot id : 6429131594 ; The user clicked: Filtration
2024-03-19 17:46:22.821 +03:00 [INF] Bot id : 6429131594 ; The user clicked: MoreDetailedFiltering
2024-03-19 17:46:23.975 +03:00 [INF] Bot id : 6429131594 ; The user clicked: UniversalFilterField_Id
2024-03-19 17:46:25.202 +03:00 [INF] Bot id : 6429131594 ; The user clicked: UniversalFilterSecondField_Id
2024-03-19 17:46:28.184 +03:00 [ERR] Bot id : 6429131594 ; Error while searching for a suitable object ; Message from user : 909009 
2024-03-19 17:46:28.340 +03:00 [INF] Bot id : 6429131594 ; User sent a message for filtering : 909009 
2024-03-19 17:46:30.518 +03:00 [INF] Bot id : 6429131594 ; The user clicked: UniversalFilterSecondField_Owner
2024-03-19 17:46:32.996 +03:00 [ERR] Bot id : 6429131594 ; Error while searching for a suitable object ; Message from user : 79 
2024-03-19 17:46:33.089 +03:00 [INF] Bot id : 6429131594 ; User sent a message for filtering : 79 
2024-03-19 17:46:40.178 +03:00 [ERR] Bot id : 6429131594 ; Error while searching for a suitable object ; Message from user : 12
12 
2024-03-19 17:46:40.400 +03:00 [INF] Bot id : 6429131594 ; User sent a message for filtering : 12
12 
